longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,age_category,y_real,y_pred,residual_abs
-116.43,33.75,24.0,2596.0,438.0,473.0,237.0,3.7727,INLAND,Media,500001.0,148378.66666666666,351622.3333333334
-118.08,34.15,28.0,238.0,58.0,142.0,31.0,0.4999,INLAND,Media,500001.0,168370.66333333333,331630.33666666667
-122.25,37.87,52.0,609.0,236.0,1349.0,250.0,1.1696,NEAR BAY,Muy antigua,500001.0,201525.00333333333,298475.9966666667
-117.7,33.72,6.0,211.0,51.0,125.0,44.0,1.9659,<1H OCEAN,Nueva,500001.0,203300.36,296700.64
-117.55,33.83,6.0,502.0,76.0,228.0,65.0,4.2386,INLAND,Nueva,500001.0,203538.33333333334,296462.6666666666
-118.21,34.02,52.0,22.0,7.0,55.0,7.0,7.5752,<1H OCEAN,Muy antigua,67500.0,359696.06666666665,292196.06666666665
-119.08,34.17,32.0,166.0,22.0,63.0,29.0,7.3004,NEAR OCEAN,Antigua,125000.0,406206.7033333333,281206.7033333333
-119.04,34.28,21.0,1856.0,276.0,863.0,255.0,4.5833,<1H OCEAN,Media,500001.0,219751.34,280249.66000000003
-121.19,38.71,11.0,4415.0,,1520.0,627.0,3.2321,INLAND,Nueva,390800.0,147170.0,243630.0
-118.32,34.1,28.0,1759.0,716.0,1463.0,620.0,1.7306,<1H OCEAN,Media,450000.0,215687.67,234312.33
